Theta,Phi_r,v_alh (q),m_alh (q),s_alh (q),Bay (q),Bay Lower,Bay Upper,,
12.67462507,0.671479801,0.014061917,0.076554735,2.834704774,0.023034403,0.014524566,0.036098781,,Model 1
39.938344,0.726216416,0.090863843,0.241227598,2.859934775,0.028404959,0.017102859,0.047006989,,Model 2
29.29194902,0.669157252,0.051471231,0.176923372,2.848937669,0.028094726,0.019137214,0.042524113,,Model 3
5.094221904,0.706965967,0.016331715,0.0307691,2.846010863,0.022622316,0.012050074,0.039478176,,Bay's Model
74.9874289,0.647618834,0.155962145,0.452924071,2.901290459,0.045599949,0.028762702,0.070008664,,95% Lower Credible Interval for Bay's Model
4.065098085,0.692419947,0.017909091,0.024553192,2.838032496,0.021608169,0.011930936,0.036864825,,95%Upper Credible Interval for Bay's Model
58.79321635,0.672746597,0.151709056,0.355111027,2.875180844,0.036810977,0.024560368,0.055843457,,
28.26696388,0.652322978,0.048034643,0.170732462,2.844895399,0.028064358,0.01932626,0.041668211,,
17.29163945,0.732370154,0.019629319,0.104441502,2.859331165,0.025406626,0.013734163,0.044396258,,
60.03774462,0.612737938,0.154170448,0.362627978,2.891996878,0.043946714,0.026785204,0.067149753,,
51.70839431,0.670965242,0.13298721,0.312318702,2.869260211,0.034856537,0.023580915,0.052690166,,
28.37306316,0.625443828,0.048385782,0.171373302,2.840106488,0.028567836,0.019297346,0.041749938,,
46.16646734,0.729180172,0.114213746,0.278845463,2.860480494,0.029046526,0.017253567,0.048202126,,
22.16133911,0.63463983,0.030019927,0.133854488,2.833144435,0.025844859,0.017462974,0.037947381,,
77.73268131,0.693761761,0.149337994,0.469505395,2.880985449,0.03896326,0.024655735,0.061019762,,
28.24369023,0.620961683,0.047957764,0.170591889,2.839083738,0.028586704,0.019163287,0.041723123,,
22.06377266,0.658204567,0.029772765,0.133265187,2.839370685,0.025844666,0.017477853,0.038860712,,
67.665034,0.73513998,0.162235343,0.408696805,2.859955453,0.030985928,0.016750198,0.052499777,,
1.583323919,0.621039628,0.023106125,0.009563276,2.797256509,0.016489169,0.007995827,0.027281021,,
24.12105589,0.69839327,0.035280677,0.145691178,2.851296593,0.026366871,0.016771376,0.042171538,,
33.78556986,0.627021814,0.06750425,0.204064842,2.848517173,0.030898682,0.020898955,0.045289883,,
79.40141656,0.659890553,0.144043167,0.479584556,2.900140692,0.04514958,0.028545232,0.069653988,,
85.53976223,0.679319987,0.115556493,0.516660164,2.894508825,0.043532476,0.027431294,0.067601449,,
64.48301702,0.685028879,0.160458937,0.389477423,2.876168024,0.036956792,0.024186457,0.056653051,,
44.32786029,0.688950764,0.10747919,0.267740276,2.861939073,0.031442171,0.021096923,0.048186689,,
57.65593942,0.694804448,0.149219432,0.348241874,2.869170807,0.034143844,0.022404075,0.052728403,,
37.26009465,0.637487209,0.080606987,0.225050972,2.854362726,0.031951036,0.021761883,0.047012805,,
26.89432487,0.657652781,0.04359475,0.162441722,2.844403715,0.027502451,0.018875078,0.041024686,,
85.56192613,0.601006784,0.115426361,0.516794034,2.943894759,0.058390787,0.03188611,0.092579724,,
10.38512061,0.714818586,0.013127046,0.062726128,2.851468185,0.023942576,0.01318687,0.04162785,,
31.17542112,0.725452682,0.058021167,0.188299544,2.858783576,0.027226163,0.016143823,0.045458774,,
80.9180064,0.62620124,0.138356333,0.488744759,2.920701569,0.051577859,0.030390075,0.080413514,,
65.08272875,0.626544681,0.160979333,0.393099682,2.896102575,0.044595522,0.027607422,0.068360423,,
2.619130619,0.601740864,0.020692034,0.015819549,2.788601462,0.015795474,0.006763935,0.027232499,,
